{'coarse_dim': 448, 'dropout': 0.4, 'kernel_size': 9, 'activation': 'leakyrelu', 'final_activation': 'sigmoid', 'depth': 4, 'pooling_type': 'average', 'learning_rate': 0.0030304674408382385, 'trialNumber': 41, 'val_loss': 0.07071759551763535, 'iou': 0.887908935546875, 'matthews_coef': 0.8799300789833069}

{'coarse_dim': 128, 'dropout': 0.34, 'kernel_size': 4, 'activation': 'leakyrelu', 'final_activation': 'sigmoid', 'depth': 3, 'pooling_type': 'average', 'learning_rate': 0.00036273220971833986, 'trialNumber': 31, 'val_loss': 0.07276208698749542, 'iou': 0.8858223557472229, 'matthews_coef': 0.8777475953102112}

{'coarse_dim': 448, 'dropout': 0.39, 'kernel_size': 9, 'activation': 'leakyrelu', 'final_activation': 'sigmoid', 'depth': 4, 'pooling_type': 'average', 'learning_rate': 0.003099325212222777, 'trialNumber': 42, 'val_loss': 0.07096845656633377, 'iou': 0.8880341649055481, 'matthews_coef': 0.8802050948143005}

{'coarse_dim': 320, 'dropout': 0.31, 'kernel_size': 7, 'activation': 'leakyrelu', 'final_activation': None, 'depth': 5, 'pooling_type': 'average', 'learning_rate': 0.003206318848808777, 'trialNumber': 44, 'val_loss': 0.11593856662511826, 'iou': 0.8681368827819824, 'matthews_coef': 0.8563411831855774}

{'coarse_dim': 384, 'dropout': 0.4, 'kernel_size': 9, 'activation': 'leakyrelu', 'final_activation': 'sigmoid', 'depth': 4, 'pooling_type': 'average', 'learning_rate': 0.0021632048483068767, 'trialNumber': 34, 'val_loss': 0.07073776423931122, 'iou': 0.8877527713775635, 'matthews_coef': 0.8804904222488403}

{'coarse_dim': 448, 'dropout': 0.3, 'kernel_size': 8, 'activation': 'leakyrelu', 'final_activation': None, 'depth': 5, 'pooling_type': 'average', 'learning_rate': 0.004032836195610083, 'trialNumber': 45, 'val_loss': 0.08963844925165176, 'iou': 0.8722225427627563, 'matthews_coef': 0.8614471554756165}

{'coarse_dim': 256, 'dropout': 0.49, 'kernel_size': 6, 'activation': 'leakyrelu', 'final_activation': 'sigmoid', 'depth': 3, 'pooling_type': 'average', 'learning_rate': 0.003286842410399276, 'trialNumber': 11, 'val_loss': 0.07248075306415558, 'iou': 0.8851127028465271, 'matthews_coef': 0.8777318000793457}

{'coarse_dim': 288, 'dropout': 0.25, 'kernel_size': 3, 'activation': 'leakyrelu', 'final_activation': 'sigmoid', 'depth': 5, 'pooling_type': 'average', 'learning_rate': 0.00033803690268741017, 'trialNumber': 24, 'val_loss': 0.0733805000782013, 'iou': 0.8841392397880554, 'matthews_coef': 0.8766895532608032}

{'coarse_dim': 128, 'dropout': 0.0, 'kernel_size': 4, 'activation': 'leakyrelu', 'final_activation': 'sigmoid', 'depth': 3, 'pooling_type': 'average', 'learning_rate': 0.0004210985851497619, 'trialNumber': 29, 'val_loss': 0.07545778900384903, 'iou': 0.8826624751091003, 'matthews_coef': 0.874096155166626}

{'coarse_dim': 352, 'dropout': 0.41000000000000003, 'kernel_size': 8, 'activation': 'leakyrelu', 'final_activation': None, 'depth': 4, 'pooling_type': 'average', 'learning_rate': 0.002197584943875564, 'trialNumber': 36, 'val_loss': 0.1201675534248352, 'iou': 0.8394739031791687, 'matthews_coef': 0.819903552532196}

{'coarse_dim': 256, 'dropout': 0.04, 'kernel_size': 11, 'activation': 'relu', 'final_activation': 'sigmoid', 'depth': 2, 'pooling_type': 'max', 'learning_rate': 0.00033733989630844286, 'trialNumber': 23, 'val_loss': 0.07329551875591278, 'iou': 0.8843741416931152, 'matthews_coef': 0.8762435913085938}

{'coarse_dim': 320, 'dropout': 0.5, 'kernel_size': 5, 'activation': 'leakyrelu', 'final_activation': 'sigmoid', 'depth': 4, 'pooling_type': 'average', 'learning_rate': 0.0015756285194972817, 'trialNumber': 38, 'val_loss': 0.07092121243476868, 'iou': 0.8878898024559021, 'matthews_coef': 0.879884660243988}

{'coarse_dim': 128, 'dropout': 0.36, 'kernel_size': 11, 'activation': 'leakyrelu', 'final_activation': 'sigmoid', 'depth': 3, 'pooling_type': 'average', 'learning_rate': 0.0004157740614906741, 'trialNumber': 28, 'val_loss': 0.07128101587295532, 'iou': 0.8864714503288269, 'matthews_coef': 0.8792617917060852}

{'coarse_dim': 384, 'dropout': 0.35000000000000003, 'kernel_size': 9, 'activation': 'leakyrelu', 'final_activation': 'sigmoid', 'depth': 3, 'pooling_type': 'average', 'learning_rate': 0.0005948825471190413, 'trialNumber': 32, 'val_loss': 0.07303936779499054, 'iou': 0.8857064247131348, 'matthews_coef': 0.8773259520530701}

{'coarse_dim': 256, 'dropout': 0.17, 'kernel_size': 10, 'activation': 'leakyrelu', 'final_activation': 'sigmoid', 'depth': 3, 'pooling_type': 'average', 'learning_rate': 0.0005522853267977151, 'trialNumber': 6, 'val_loss': 0.07119381427764893, 'iou': 0.8875389099121094, 'matthews_coef': 0.8797675967216492}

{'coarse_dim': 448, 'dropout': 0.3, 'kernel_size': 8, 'activation': 'leakyrelu', 'final_activation': 'sigmoid', 'depth': 4, 'pooling_type': 'average', 'learning_rate': 0.003307798409786148, 'trialNumber': 43, 'val_loss': 0.07105619460344315, 'iou': 0.8882383108139038, 'matthews_coef': 0.8799793124198914}

{'coarse_dim': 480, 'dropout': 0.42, 'kernel_size': 8, 'activation': 'relu', 'final_activation': None, 'depth': 3, 'pooling_type': 'average', 'learning_rate': 0.00015194249350562047, 'trialNumber': 1, 'val_loss': 0.07833803445100784, 'iou': 0.8836982846260071, 'matthews_coef': 0.87528395652771}

{'coarse_dim': 320, 'dropout': 0.46, 'kernel_size': 3, 'activation': 'leakyrelu', 'final_activation': 'sigmoid', 'depth': 4, 'pooling_type': 'average', 'learning_rate': 0.0011679578406556586, 'trialNumber': 12, 'val_loss': 0.07145578414201736, 'iou': 0.8868110775947571, 'matthews_coef': 0.879131555557251}

{'coarse_dim': 480, 'dropout': 0.32, 'kernel_size': 8, 'activation': 'leakyrelu', 'final_activation': 'sigmoid', 'depth': 5, 'pooling_type': 'average', 'learning_rate': 0.0033267322226286553, 'trialNumber': 47, 'val_loss': 0.0714353546500206, 'iou': 0.8876628875732422, 'matthews_coef': 0.8796265721321106}

